"gene1","gene2","p.value","q.value"
"CDH1","TP53",9.03876242682268e-19,3.50876831947882e-18
"GATA3","TP53",1.18126000246421e-15,2.73742260251228e-15
"PIK3CA","TP53",5.26613086009193e-13,7.92981579742891e-13
"TP53","MAP3K1",2.36764804580736e-09,6.17425405694562e-09
"FOXA1","TP53",3.07938613762556e-07,1.71226291491015e-06
"PIK3CA","AKT1",2.55486441298505e-05,0.000233518655371733
"AKT1","TP53",3.24516245807083e-05,0.000245680737689519
"GATA3","PIK3CA",3.33092975977264e-05,0.000245680737689519
"GATA3","CDH1",5.96358046172505e-05,0.000405876607815203
"GATA3","FAT1",0.000141466629668414,0.000991989046380735
"GATA3","ERBB2",0.000141466629668414,0.000991989046380735
"PIK3CA","PIK3R1",0.000165033652640238,0.00106822338989798
"KMT2C","TP53",0.00028151209589338,0.00177343758080365
"GATA3","MED12",0.000282184928934792,0.00177343758080365
"NCOR1","MAP3K1",0.000340508706775732,0.0021126410521696
"TP53","FAT1",0.00034120942593873,0.0021126410521696
"GATA3","MAP3K1",0.00036959931627688,0.0021126410521696
"ARID1A","TP53",0.000376466777289001,0.00226373729082001
"MAP2K4","TP53",0.0004064197522993,0.00234011993863487
"PTEN","MAP2K4",0.00048659748045297,0.00255331509992884
"GATA3","SPTA1",0.000496877690834866,0.00255331509992884
"CDH1","DMD",0.000549307628928231,0.00255331509992884
"MYH9","TP53",0.00060163359167849,0.00277547479174912
"GATA3","DMD",0.000785632345349589,0.00394095472899003
"CBFB","TP53",0.000833772457178308,0.00416294603272522
"MAP2K4","SPTA1",0.000934454294797919,0.00419503115818149
"TP53","TBX3",0.000959444739957527,0.00419503115818149
"MAP2K4","MAP3K1",0.00116568095563411,0.00513573848701
"GATA3","ATM",0.00116876859437374,0.00520045824836285
"GATA3","KMT2A",0.00168232893213055,0.00883439760918645
"MAP3K1","DMD",0.00174787513977271,0.00883439760918645
"CDH1","BRCA1",0.00191047025937314,0.00995391298547458
