"gene1","gene2","p.value","q.value"
"BRAF","KRAS",7.53482935207782e-16,2.79859244268201e-14
"RNF43","APC",1.01033939714948e-07,1.25742759197212e-05
"ARID1A","KRAS",1.24933948811891e-07,1.25742759197212e-05
"BRAF","APC",1.51475983031919e-07,1.35672023815624e-05
"DMD","KRAS",5.95903455986197e-07,5.48375455627848e-05
"KMT2C","TP53",7.06853490544404e-07,5.48375455627848e-05
"TP53","KMT2D",1.04560428161455e-06,7.77433801753039e-05
"TP53","FAT1",1.44808941683067e-06,9.3463599934356e-05
"PIK3CA","TP53",1.75362973276928e-06,0.000100863264314796
"RNF43","KRAS",1.79536885100583e-06,0.000100863264314796
"ATM","KRAS",2.31537093559133e-06,0.000112812494520878
"CHD8","TP53",2.38906896566312e-06,0.000112812494520878
"CIC","KRAS",2.86934250012906e-06,0.000132718049813809
"CIC","TP53",2.98831315814921e-06,0.000132718049813809
"KMT2C","KRAS",3.68441130389363e-06,0.000153238312464821
"CDK12","KRAS",4.92111326742331e-06,0.000190481966682018
"NF1","KRAS",4.92111326742331e-06,0.000190481966682018
"SOX9","KMT2D",5.97915340187773e-06,0.000223130083519298
"MYH9","KRAS",6.33581541607064e-06,0.000231502954391851
"NRAS","KRAS",7.43783906330771e-06,0.000281891157787188
"ATM","TP53",8.79141855749417e-06,0.000326319395612757
"RNF43","SMAD4",9.24133806572149e-06,0.00034555692138567
"TP53","BRAF",1.14296158687094e-05,0.000402909753613231
"HUWE1","KRAS",1.24122826314338e-05,0.000414897690025641
"KRAS","FAT1",1.26685438165825e-05,0.000414897690025641
"SOX9","APOB",1.28018013554731e-05,0.000414897690025641
"CHD8","KRAS",1.30625808573065e-05,0.000414897690025641
"SIN3A","KRAS",2.04608314834542e-05,0.000684610724935293
"ARID1A","NRAS",2.75438699593138e-05,0.000929742546010264
"KMT2B","TP53",3.04223132033036e-05,0.00101954872307585
"CARD11","SMAD4",3.31240701584536e-05,0.00110130419851982
"SOX9","KMT2C",3.58719556198769e-05,0.0011743380669993
"KRAS","ABL1",3.83598913156385e-05,0.001189255437717
"MACF1","TP53",4.11387576538397e-05,0.00124474241104015
"MACF1","KRAS",4.37278688482864e-05,0.00136346811663357
"SOX9","KMT2A",4.61662200813133e-05,0.00138655181096782
"PTEN","SOX9",4.61662200813133e-05,0.00138655181096782
"KRAS","MGA",4.99643037448925e-05,0.00146236471018469
"NCOR1","KRAS",5.09621998920261e-05,0.00150851869407756
"NCOR1","TP53",5.41305193919986e-05,0.00157868779589404
"RNF43","TP53",6.01129398954243e-05,0.00174975668478006
"KMT2B","KRAS",6.15421064763015e-05,0.00176504873693885
"CHD3","SMAD4",6.63892388165614e-05,0.00185325941084735
"ZFHX3","KRAS",6.66465019797749e-05,0.00185325941084735
"ZFHX3","TP53",6.88623778890523e-05,0.00185325941084735
"TP53","BCOR",7.07025567825643e-05,0.00185325941084735
"PCBP1","ZFHX3",7.12719287650136e-05,0.00185325941084735
"SOX9","POLE",7.13617497699406e-05,0.00185325941084735
"ARID2","SOX9",7.13617497699406e-05,0.00185325941084735
"KMT2B","APC",7.15522088227043e-05,0.00185325941084735
"RNF43","NRAS",7.33419841412076e-05,0.00185853648727712
"KRAS","NOTCH2",8.55075720892267e-05,0.00206591578456649
"TP53","APOB",8.61094612856282e-05,0.00206591578456649
"SOX9","DMD",8.78244578421136e-05,0.00206591578456649
"SOX9","CARD11",9.10521193819836e-05,0.00212500949807486
"APC","BCOR",9.59330354245316e-05,0.00228276015551417
"MTOR","KRAS",9.59906911675998e-05,0.00228276015551417
"FBXW7","KRAS",9.71874748290719e-05,0.00228276015551417
