"gene1","gene2","p.value","q.value"
"BRAF","KRAS",7.78843870312335e-16,1.88059280429051e-14
"TP53","FAT1",5.7922921754023e-08,6.20102073907898e-06
"BRAF","APC",8.22765726870575e-08,6.20102073907898e-06
"ARID1A","KRAS",1.25465245455321e-07,6.87008600832754e-06
"TP53","KMT2D",2.22583185134721e-07,1.10595691112353e-05
"KMT2C","TP53",4.78892530294258e-07,2.29209883338766e-05
"RNF43","APC",5.3807164145969e-07,2.29209883338766e-05
"RNF43","KRAS",1.14067070162459e-06,4.61233813517468e-05
"CHD8","TP53",1.15043422735605e-06,4.61233813517468e-05
"ATM","TP53",1.47943570316477e-06,5.76829473563552e-05
"KMT2C","KRAS",2.36163060773929e-06,8.09040417139689e-05
"DMD","KRAS",2.36293959298439e-06,8.09040417139689e-05
"CIC","TP53",2.6661970195395e-06,9.42583168284346e-05
"CIC","KRAS",4.54349372621174e-06,0.000159908627680721
"TP53","BRAF",5.25355922770112e-06,0.000170287484376012
"CDK12","KRAS",7.69197834291512e-06,0.000260090683013222
"PIK3CA","TP53",8.04254516271426e-06,0.00026274092036361
"ATM","KRAS",8.51990898652372e-06,0.000276620803944616
"MYH9","KRAS",9.72135227119066e-06,0.000301056476690142
"MACF1","TP53",1.26206076314604e-05,0.00039323456723161
"KRAS","FAT1",1.66110381456022e-05,0.00049198438792498
"NF1","KRAS",1.73190075678602e-05,0.000499701985359099
"HUWE1","KRAS",1.90048276330815e-05,0.000532562807562744
"SPTAN1","TP53",2.3555824101959e-05,0.000656346754274649
"SOX9","KMT2D",2.39052157108708e-05,0.00066248913572816
"TP53","APOB",2.62552730514946e-05,0.000696499189862218
"KRAS","ABL1",2.63646446893725e-05,0.000696499189862218
"ZFHX3","KRAS",2.80630402886268e-05,0.000696566445867132
"NCOR1","TP53",3.01492202329287e-05,0.000744316861803142
"MACF1","KRAS",3.48880994443559e-05,0.000810839419022006
"TP53","MGA",3.65746299645012e-05,0.000810839419022006
"MUC6","TP53",3.65746299645012e-05,0.000810839419022006
"TP53","SPTA1",3.76179317117693e-05,0.000832944590188014
"CHD8","KRAS",3.87428794856447e-05,0.00084118598015495
"NCOR1","KRAS",4.1566023375244e-05,0.000865550702425595
"CREBBP","TP53",4.18685928602987e-05,0.000865550702425595
"KMT2B","KRAS",4.35234270788342e-05,0.000936523382398142
"KMT2B","TP53",4.43831806282396e-05,0.000955802660581851
"SOX9","KMT2A",4.57521509684219e-05,0.000962907818572309
"ZFHX3","TP53",4.76190352650213e-05,0.000987756209885227
"ARID1A","TP53",6.05937009318126e-05,0.00123668103309912
"SOX9","KMT2C",6.44828805873802e-05,0.00123668103309912
"KMT2B","APC",6.4596421463113e-05,0.00123668103309912
"APC","BCOR",6.51979796584838e-05,0.00123668103309912
"TP53","BCOR",6.53725400398364e-05,0.00123668103309912
"TP53","MAP3K4",6.53725400398364e-05,0.00123668103309912
"MTOR","KRAS",7.61038139962015e-05,0.00146473282243575
"TP53","POLE",8.04251923818323e-05,0.00149912799184094
"HUWE1","TP53",8.04251923818323e-05,0.00149912799184094
"PTEN","SOX9",8.25070747354035e-05,0.00155263383553616
"NF1","TP53",9.73005658214582e-05,0.00182921193390789
"CIC","APC",0.000101221374163245,0.00185466036234987
"RNF43","SMAD4",0.000105956530190776,0.00203000600777821
"TP53","COL5A1",0.000114649966185352,0.00216499027467699
"BRCA1","KRAS",0.000124300518106431,0.00244990435371478
"TP53","DMD",0.000130325862444103,0.00249169310739142
"TP53","MECOM",0.000130865729025812,0.00249169310739142
"TP53","HLA-B",0.000140992981007176,0.00279376201185428
"RNF43","TP53",0.000147227676003482,0.00284104115573622
"SOX9","APOB",0.000153819789787997,0.00289856093512653
"KRAS","MGA",0.00016982180451377,0.00307380898651204
"MUC6","KRAS",0.00016982180451377,0.00307380898651204
"ARID2","SOX9",0.000171394035778344,0.00307380898651204
"CHD3","TP53",0.000173484335905229,0.00307380898651204
"ARHGAP35","TP53",0.000173484335905229,0.00307380898651204
"KRAS","EPHA3",0.000183513654784775,0.00332498021007504
"MACF1","APC",0.000185807838692989,0.00343930849242637
"FBXW7","KRAS",0.000204723366393176,0.00364935034239482
"FBXW7","TP53",0.000207537769954812,0.00370228599072674
"TP53","NIPBL",0.00021361091308687,0.00370307063598402
"CACNA1A","TP53",0.00021361091308687,0.00370307063598402
"MYH9","TP53",0.00021361091308687,0.00370307063598402
"SOX9","POLE",0.000266305235729087,0.0046474126214996
"SMAD4","TP53",0.000275246966448129,0.0046474126214996
"TP53","SETBP1",0.000290312439903062,0.00471097926169642
"KDM5C","TP53",0.000296529866040312,0.00494338864676438
"KRAS","USP9X",0.000308501314565417,0.0050009698325207
"KRAS","BCOR",0.000308501314565417,0.0050009698325207
"SMC1A","TP53",0.000332476049518638,0.00554292049250634
"CHD3","SMAD4",0.000334310369628096,0.00554292049250634
"CARD11","SMAD4",0.000334310369628096,0.00554292049250634
"TP53","ASXL2",0.000339712584866048,0.00581873204384621
"DICER1","KRAS",0.000373117123611271,0.00658427212718928
"ZBTB20","SOX9",0.000413648328494999,0.00716675467572893
"TP53","FLNA",0.000414340770621988,0.00716675467572893
"CACNA1A","KRAS",0.000424721872556333,0.00719404164412462
"SOX9","NCOR1",0.000442459014706807,0.00759953006261648
"ARID2","TP53",0.000461353543228991,0.00817156917789391
"KRAS","KMT2D",0.000483003680889079,0.00832392849953529
"GRIN2D","TP53",0.000487277005887905,0.00844604317850467
"SOX9","TP53",0.000497337110988414,0.00847608945920795
"SOX9","BRAF",0.000509316133606674,0.00848877812710604
"BRCA2","KRAS",0.000529225436906142,0.00870161038215412
"KMT2A","TP53",0.00053939196552445,0.00870161038215412
"KRAS","SPTA1",0.000559845440470341,0.00902733405048569
"TP53","CTNND1",0.000561598014879451,0.00902733405048569
"SOX9","MECOM",0.000580941079398884,0.00938310129628418
"SOX9","DMD",0.000584262874767349,0.00938310129628418
"CHD4","KRAS",0.000589087539001927,0.00938310129628418
"ARID2","KRAS",0.000589087539001927,0.00938310129628418
"TP53","PTCH1",0.000593403298860903,0.00938310129628418
"SCAF4","TP53",0.000593403298860903,0.00938310129628418
"CARD11","TP53",0.000593403298860903,0.00938310129628418
"ZFHX3","SMAD4",0.000649573053412349,0.0104243960853309
"KRAS","PTCH1",0.000651856530496522,0.0104243960853309
"SETD2","KRAS",0.000651856530496522,0.0104243960853309
"SCAF4","KRAS",0.000651856530496522,0.0104243960853309
"SIN3A","TP53",0.000670670163598165,0.0105258040899621
