"gene1","gene2","p.value","q.value"
"PTEN","IDH1",2.5729723926455e-30,6.85488027798317e-30
"EGFR","IDH1",2.18035740267354e-29,3.14942050052332e-29
"CIC","TP53",1.83847773318798e-16,5.4702015640757e-16
"PTEN","ATRX",6.32213510401486e-12,1.76699495173877e-11
"EGFR","ATRX",8.83751820498692e-12,2.18577101425434e-11
"IDH1","RB1",4.79277688510794e-11,1.33216350290888e-10
"CIC","ATRX",8.02918291432432e-11,1.87863985450489e-10
"IDH1","NF1",5.78859172730648e-10,1.13630797682822e-09
"PTEN","CIC",8.69267576737729e-10,1.94750484271735e-09
"EGFR","TP53",5.69124557544747e-09,1.10303423575081e-08
"IDH1","IDH2",5.89556643409489e-09,1.25254529106275e-08
"PTEN","FUBP1",1.02145623178675e-08,2.01095747408285e-08
"EGFR","CIC",1.27216560365921e-08,2.22774151173356e-08
"IDH1","SPTA1",2.69889422711035e-08,5.1579217423137e-08
"ATRX","FUBP1",6.22446248089007e-08,1.15710330004639e-07
"TP53","FUBP1",1.20141685308157e-07,2.07400813796294e-07
"EGFR","FUBP1",2.45761797236422e-06,6.77604091854467e-06
"IDH1","LZTR1",4.4961828337638e-06,1.13735413764081e-05
"IDH1","STAG2",4.4961828337638e-06,1.13735413764081e-05
"PTEN","NOTCH1",8.54519957825226e-06,2.25700147128628e-05
"PTEN","IDH2",1.20787174995491e-05,3.4515479423613e-05
"IDH1","GABRA6",1.82924929555548e-05,5.99699426983214e-05
"EGFR","NOTCH1",2.05949332673338e-05,6.64685963063761e-05
"PIK3CA","ATRX",3.2588998711379e-05,0.000117240296012795
"IDH1","BRAF",7.29647440167592e-05,0.000291969471499455
"IDH1","KEL",7.50778214923329e-05,0.000291969471499455
"PIK3CG","IDH1",0.000155974730877034,0.000695630126432297
"NF1","CIC",0.000178560295080769,0.000809166744208081
"BCOR","FUBP1",0.000293300713795644,0.0013171875235844
"IDH1","RPL5",0.000428393507948977,0.00228741380105584
"PGR","IDH1",0.000428393507948977,0.00228741380105584
"NF1","ATRX",0.000641014326844154,0.0035576930247399
"PTEN","TP53",0.000643728915293003,0.0035576930247399
"IDH1","PLCG1",0.000671391107159392,0.0035576930247399
"IDH1","MECOM",0.000671391107159392,0.0035576930247399
"EGFR","IDH2",0.00073150963778714,0.0041212711188466
"TCF12","APOB",0.000849130929463635,0.00461834346929353
"GABRA6","FUBP1",0.000851219871602219,0.00461834346929353
"EGFR","BCOR",0.000952460628951586,0.00510884520391259
"IDH1","BRCA1",0.00107630517126409,0.00602423970842621
"CUL1","IDH1",0.00107630517126409,0.00602423970842621
"EGFR","TCF12",0.00124589294805727,0.0070836606290047
"RB1","FUBP1",0.00127857104599251,0.0070836606290047
"IDH2","TP53",0.00157219770846161,0.0093519891946248
"IDH1","CHD8",0.00166147312945819,0.010178086713735
