"gene1","gene2","p.value","q.value"
"ARID1A","TP53",5.44431883648913e-13,1.08543991842844e-11
"PIK3CA","TP53",2.0234385080793e-09,6.36360875714484e-08
"TP53","KMT2D",3.9793922183617e-07,1.92200794856576e-05
"CDH1","TP53",5.49150673832259e-07,2.35066570073038e-05
"ERBB3","TP53",1.30978687165144e-05,0.000918008997133331
"PTEN","TP53",2.8346983654978e-05,0.00174525326506632
"KMT2C","TP53",2.85650718044063e-05,0.00174525326506632
"TP53","KRAS",4.25862702385857e-05,0.00237251681830693
"TP53","RHOA",4.53072780412486e-05,0.00237251681830693
"ZBTB20","TP53",5.8413253659124e-05,0.00301099230614601
"KMT2B","TP53",6.95818884327817e-05,0.00341389252300492
"ACVR2A","TP53",8.23730636943402e-05,0.0041119495906726
"CDH1","KRAS",9.67509971203277e-05,0.00457616537979339
"RPL22","TP53",9.90251048888639e-05,0.00457616537979339
"ATM","TP53",0.000110202972834916,0.00469075283812464
"ACVR2A","SMAD4",0.00014624599041416,0.00596635738519751
"CTNNB1","TP53",0.000199653366305197,0.00820987722022527
"PBRM1","TP53",0.000199653366305197,0.00820987722022527
