"gene1","gene2","p.value","q.value"
"ARID1A","TP53",7.63013037348781e-48,1.77003576215478e-46
"PTEN","TP53",1.75869115536394e-39,5.26599440483542e-38
"CTNNB1","TP53",5.64014486129292e-39,1.01596065994567e-37
"CTCF","TP53",5.71850614792094e-35,1.4375624108495e-33
"TP53","KRAS",3.94844596075716e-28,1.77097179920655e-26
"PIK3CA","PIK3R1",2.24834988466953e-27,8.9882930588802e-26
"KMT2B","TP53",2.8143814245728e-27,1.04087307742939e-25
"TP53","PIK3R1",1.77668317294664e-26,5.94828152987146e-25
"TP53","KMT2D",4.01291433710138e-26,1.30110905132418e-24
"ZFHX3","TP53",7.14129220174706e-23,3.47195046179645e-21
"PPP2R1A","KRAS",1.71228774412121e-20,1.07102069671765e-18
"TP53","NSD1",2.00529487642363e-19,1.39064697239977e-17
"PPP2R1A","PIK3R1",4.20602070139173e-19,2.80330016788921e-17
"RPL22","TP53",1.98660341334834e-18,1.36059520404786e-16
"FGFR2","TP53",2.69671638369611e-17,2.07664030832516e-15
"MED12","TP53",3.86636820730842e-17,2.78751265869424e-15
"ARID5B","TP53",8.28313316130478e-17,5.7221982256598e-15
"TP53","BCOR",8.33497156714747e-17,5.7221982256598e-15
"PPP2R1A","PTEN",1.17123917165889e-16,8.02902383953617e-15
"RNF43","TP53",2.15636733030319e-16,1.42743153478089e-14
"PIK3CA","TP53",2.39944290400477e-16,1.43437598171103e-14
"SCAF4","TP53",2.41696549646746e-16,1.43437598171103e-14
"ATM","TP53",2.45671529692524e-16,1.43437598171103e-14
"KMT2C","TP53",3.02251297732108e-16,1.7474504703112e-14
"CTNNB1","KRAS",3.61341342418231e-16,2.03437183726087e-14
"CHD3","TP53",5.83900901315448e-16,3.17869390448584e-14
"TP53","APOB",5.96352374189409e-16,3.17869390448584e-14
"TP53","FAT1",7.81848560901402e-16,4.0468900294696e-14
"MACF1","TP53",1.538318276564e-15,8.25648480821328e-14
"PPP2R1A","CTNNB1",3.13060449546805e-15,1.75083058271311e-13
"TP53","SPTA1",3.82578729200763e-15,2.04463813253395e-13
"TP53","NIPBL",4.26412832276763e-15,2.15148990119132e-13
"BRCA2","TP53",4.26412832276763e-15,2.15148990119132e-13
"CHD4","TP53",8.04042796119441e-15,4.18687714267732e-13
"ARID1A","PPP2R1A",8.82541641921746e-15,4.36445053984434e-13
"EP300","TP53",1.33491403983742e-14,6.7752605285892e-13
"SIN3A","TP53",2.58692424964075e-14,1.32991329743714e-12
"TP53","USP9X",2.63647264269202e-14,1.32991329743714e-12
"KANSL1","TP53",4.62538809765731e-14,2.35807351084795e-12
"PPP2R1A","RNF43",5.68616420706134e-14,2.8872142716089e-12
"TP53","DMD",6.27882350134557e-14,3.23355289038475e-12
"KMT2C","KRAS",6.93668159642673e-14,3.50724237168076e-12
"TP53","JAK1",8.93855294597699e-14,4.4328674868104e-12
"TP53","COL5A1",1.14046222821189e-13,5.5834573742956e-12
"CREBBP","TP53",1.511254427493e-13,7.28476275412758e-12
"PPP2R1A","KMT2D",1.52741963971154e-13,7.28476275412758e-12
"ACVR2A","TP53",1.7575463608481e-13,8.14998374068765e-12
"ZMYM2","TP53",3.14823785166075e-13,1.52830096739047e-11
"HUWE1","TP53",6.46308826068014e-13,3.26446018339011e-11
"CHD4","KRAS",6.69984446002514e-13,3.28573469119031e-11
"TP53","TAF1",6.71504967799433e-13,3.28573469119031e-11
"TP53","KIF1A",7.19708589838047e-13,3.47189305674626e-11
"TP53","MAP3K1",8.62699935596463e-13,4.16045609931558e-11
"FGFR2","KRAS",9.53674023938536e-13,4.51263321515669e-11
"KDM6A","KRAS",1.00812538878918e-12,4.70430670400684e-11
"ARID2","TP53",1.22051673008572e-12,5.71216543857236e-11
"CTCF","PPP2R1A",1.26842175796596e-12,5.86011451883574e-11
"ARHGAP35","KRAS",1.39504331779507e-12,6.32857628425e-11
"ARHGAP35","TP53",1.43770445404438e-12,6.45776929901159e-11
"SMARCA1","TP53",1.4675571387679e-12,6.50626749727526e-11
"PLXNB2","KRAS",2.52056027731459e-12,1.13113649197865e-10
"FOXA2","KRAS",2.6270467170307e-12,1.18001293124268e-10
"TP53","APC",2.76504804928473e-12,1.20884636100966e-10
"TP53","SETD2",2.76504804928473e-12,1.20884636100966e-10
"PPP2R1A","FBXW7",5.08458882164985e-12,2.33625797586504e-10
"TP53","EPHA3",6.30841618058518e-12,2.90496494367404e-10
"EP300","KRAS",7.58084730177149e-12,3.35812884336186e-10
"PPP2R1A","KMT2C",1.0483406067627e-11,4.71936842441679e-10
"CIC","TP53",1.18197853717643e-11,5.28542886428954e-10
"DICER1","TP53",1.37850310384752e-11,6.36120187812094e-10
"MUC6","TP53",1.47333571267821e-11,6.63835762786856e-10
"RNF43","CTNNB1",1.50242364010286e-11,6.77208866352874e-10
"CCND1","TP53",1.60873828448968e-11,7.17226956281521e-10
"INPPL1","TP53",1.6987976980977e-11,7.43193203501558e-10
"MED12","KRAS",1.9467613933042e-11,8.34768211974952e-10
"PPP2R1A","CHD3",2.16122009022534e-11,9.19190420878e-10
"TP53","MGA",2.32028180226896e-11,9.55116067840883e-10
"TP53","ATRX",2.32028180226896e-11,9.55116067840883e-10
"TP53","POLE",2.32028180226896e-11,9.55116067840883e-10
"KRAS","SPTA1",3.22957732357979e-11,1.36543908420505e-09
"PPP2R1A","KMT2B",3.38233463548725e-11,1.41094833255119e-09
"TP53","ATR",3.60059502997161e-11,1.50641267365825e-09
"TP53","FLNA",3.85496296594827e-11,1.58066904370808e-09
"KMT2B","CTNNB1",4.82361611787447e-11,2.03382748924553e-09
"CHD8","TP53",4.9920511876082e-11,2.08803139682814e-09
"POLQ","KRAS",8.31333775481371e-11,3.55669586222786e-09
